,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,playlist
51,Heaven's Just A Sin Away,Heaven's Just A Sin Away,The Kendalls,2005,146466,27,0.775,0.56,0.593,0.0,0.0917,-7.622,0.0313,154.311,0.862,4,1970s
52,Just Good Ol' Boys,The Ultimate Moe & Joe,Moe Bandy,2003,155226,38,0.665,0.607,0.598,0.0,0.136,-8.875,0.0739,151.233,0.733,4,1970s
53,The Devil Went Down to Georgia,Million Mile Reflections,The Charlie Daniels Band,1979,215066,60,0.131,0.517,0.535,0.0,0.085,-12.027,0.0494,135.087,0.933,4,1970s
54,Blanket On The Ground,Country Greats,Billie Jo Spears,1987-01-01,215360,58,0.394,0.465,0.519,0.00156,0.204,-11.819,0.0239,86.6,0.881,4,1970s
55,Rose Garden,Rose Garden,Lynn Anderson,1971,175866,62,0.168,0.589,0.501,0.0,0.0741,-11.665,0.031,131.064,0.969,4,1970s
56,Shadows In The Moonlight,The Ultimate Collection (Deluxe Edition),Anne Murray,2017-09-29,209733,40,0.00351,0.63,0.689,4.7e-05,0.103,-5.927,0.0253,104.683,0.422,4,1970s
57,Here You Come Again,The Essential Dolly Parton,Dolly Parton,2005-06-28,174466,44,0.568,0.537,0.573,0.000641,0.062,-9.106,0.0369,105.795,0.615,4,1970s
58,Two Dollars in the Jukebox - 2008 Remaster,Rocky Mountain Music,Eddie Rabbitt,1976-10,142773,48,0.067,0.759,0.621,0.000291,0.0623,-12.539,0.0314,134.319,0.921,4,1970s
59,If We're Not Back In Love By Monday,Ramblin' Fever,Merle Haggard,1977-01-01,196000,40,0.813,0.696,0.193,1.34e-05,0.103,-16.637,0.0299,76.55,0.701,4,1970s
60,The Grand Tour,George Jones - 16 Biggest Hits,George Jones,1998-07-14,187373,51,0.944,0.458,0.275,0.0194,0.271,-11.498,0.0261,88.718,0.449,4,1970s
61,"When You're Hot, You're Hot",The Essential Jerry Reed,Jerry Reed,1995,139560,45,0.354,0.788,0.832,0.0,0.1,-10.783,0.0981,101.045,0.91,4,1970s
62,Before the Next Teardrop Falls,The Freddy Fender Collection,Freddy Fender,1991-10-11,158306,52,0.748,0.799,0.345,2.39e-05,0.169,-11.52,0.0276,90.417,0.776,4,1970s
63,Lonely Women Make Good Lovers,Greatest Hits,Bob Luman,1974-03-01,193960,42,0.712,0.652,0.484,0.124,0.272,-10.389,0.0309,121.604,0.636,4,1970s
64,The Fightin' Side Of Me,HAG: The Hits Volume 2,Merle Haggard,2011-09-06,169346,45,0.368,0.754,0.497,0.0,0.193,-11.14,0.039,95.502,0.789,4,1970s
65,Delta Dawn,Delta Dawn,Tanya Tucker,1972-04-19,178400,36,0.668,0.549,0.424,0.0,0.319,-12.892,0.0369,76.783,0.509,4,1970s
66,She's Actin' Single (I'm Drinkin' Doubles),RCA Country Legends,Gary Stewart,2004-07-27,171093,38,0.567,0.708,0.482,2.59e-05,0.115,-10.366,0.0315,109.41,0.699,4,1970s
67,The Door Is Always Open,Anthology,Dave and Sugar,1998,163800,39,0.499,0.455,0.479,0.0,0.121,-10.417,0.0272,188.482,0.826,4,1970s
68,The Wurlitzer Prize (I Don't Want to Get Over You),The Essential Waylon Jennings,Waylon Jennings,2007-05-01,128253,41,0.861,0.597,0.346,0.00309,0.13,-12.679,0.0399,118.704,0.499,4,1970s
69,Amos Moses,The Essential Jerry Reed,Jerry Reed,1995,139760,47,0.526,0.75,0.711,0.000653,0.0282,-10.633,0.0641,105.636,0.961,4,1970s
70,Her Name Is...,Anniversary (Ten Years Of Hits),George Jones,1982-10-30,138800,44,0.307,0.565,0.336,0.0,0.0949,-16.387,0.0319,82.294,0.796,4,1970s
71,Blue Skies,Stardust,Willie Nelson,1978-04-01,213440,52,0.207,0.381,0.335,0.088,0.1,-12.797,0.0362,83.792,0.259,4,1970s
72,Man in Black,Man In Black,Johnny Cash,1971-05-26,172986,58,0.589,0.676,0.58,0.000145,0.218,-14.217,0.0506,95.358,0.89,4,1970s
73,Dueling Banjos,Dueling Banjos From The Original Sound Track Of Deliverance And Additional Music,Eric Weissberg,1973,194879,49,0.409,0.417,0.484,0.959,0.0663,-8.781,0.0791,149.79,0.501,4,1970s
74,It's Not Love (But It's Not Bad),The Very Best Of Merle Haggard,Merle Haggard,2007-01-01,201386,36,0.189,0.659,0.281,0.0,0.112,-13.564,0.0268,108.287,0.518,4,1970s
75,Sleeping Single In A Double Bed - Single Version,Ultimate Collection: Barbara Mandrell,Barbara Mandrell,2001-01-01,138853,36,0.454,0.715,0.687,0.0,0.0736,-9.408,0.0311,139.375,0.974,4,1970s
76,Paper Roses,20th Century Masters: The Millennium Collection: Best of Donny & Marie Osmond,Donny Osmond,2002-01-01,158973,40,0.272,0.359,0.504,1.52e-05,0.332,-10.555,0.0349,114.172,0.73,4,1970s
77,Love Is Like a Butterfly,The Essential Dolly Parton,Dolly Parton,2005-06-28,140173,37,0.721,0.686,0.187,0.0,0.12,-12.062,0.0391,89.616,0.772,4,1970s
78,I Can Help,The Best Of Billy Swan,Billy Swan,1974,238333,50,0.511,0.471,0.675,0.019,0.232,-9.07,0.0513,125.313,0.53,4,1970s
79,Bloody Mary Morning,Phases And Stages,Willie Nelson,1974,168933,45,0.586,0.601,0.766,0.000903,0.347,-13.262,0.0466,130.14,0.856,4,1970s
80,Till the End,Till The End,Vern Gosdin,1977,166000,39,0.411,0.547,0.265,1.35e-06,0.109,-16.803,0.0249,93.106,0.385,4,1970s
81,This Time,The Essential Waylon Jennings,Waylon Jennings,2007-05-01,144733,44,0.0884,0.448,0.597,0.285,0.149,-12.201,0.0381,98.494,0.514,4,1970s
82,Out Of My Head And Back In My Bed,The Definitive Collection,Loretta Lynn,2005-01-01,160920,34,0.284,0.625,0.69,0.0167,0.727,-10.424,0.0322,132.446,0.915,4,1970s
83,Pass Me By,20 Greatest Hits,Johnny Rodriguez,2005,157746,28,0.678,0.661,0.4,0.0,0.0697,-6.499,0.0245,101.025,0.397,4,1970s
84,Don't Take It Away - Single Version,Gold,Conway Twitty,2006-01-01,221400,42,0.517,0.721,0.302,0.0,0.168,-16.424,0.0592,88.461,0.433,4,1970s
85,The Power of Positive Drinkin',The Essential Mickey Gilley,Mickey Gilley,2015-01-09,145253,35,0.629,0.535,0.912,0.00263,0.216,-8.18,0.0573,181.036,0.906,4,1970s
86,(If Loving You Is Wrong) I Don't Want To Be Right,Ultimate Collection: Barbara Mandrell,Barbara Mandrell,2001-01-01,185013,37,0.0341,0.621,0.536,1.01e-05,0.142,-10.935,0.0349,74.256,0.72,4,1970s
87,Barstool Mountain,The Very Best Of...Volume 1,Moe Bandy,2012-06-19,169000,36,0.23,0.73,0.225,4.27e-06,0.258,-15.429,0.032,123.61,0.596,4,1970s
88,You and Me,The Essential Tammy Wynette,Tammy Wynette,2013-08-20,200426,36,0.584,0.458,0.234,0.00029,0.182,-14.843,0.0273,77.317,0.197,3,1970s
89,Linda On My Mind - Single Version,Conway Twitty's Greatest Hits Volume II,Conway Twitty,1976,162693,35,0.314,0.383,0.292,1.32e-05,0.0581,-15.23,0.0293,104.789,0.593,4,1970s
90,Goin' Steady,Golden Hits,Faron Young,1995-01-01,125266,37,0.47,0.492,0.428,0.0,0.204,-13.132,0.0352,165.776,0.871,4,1970s
91,Mother Country Music,Till The End,Vern Gosdin,1977,173853,38,0.189,0.562,0.448,0.0,0.144,-13.113,0.0358,132.622,0.603,4,1970s
92,"Midnight, Me And The Blues",All His Great Hits,Mel Tillis,1995-01-01,170200,31,0.843,0.647,0.282,0.00134,0.182,-15.042,0.0319,132.169,0.753,4,1970s
93,'Til I Get It Right,The Essential Tammy Wynette,Tammy Wynette,2013-08-20,157933,37,0.843,0.528,0.146,0.000356,0.101,-13.271,0.0288,133.894,0.336,4,1970s
94,What Goes On When The Sun Goes Down,The Essential Ronnie Milsap,Ronnie Milsap,2006-07-31,172800,0,0.661,0.693,0.484,1.22e-06,0.12,-10.004,0.0281,132.879,0.902,4,1970s
95,I Can't Believe She Gives It All To Me - Single Version,Gold,Conway Twitty,2006-01-01,143373,38,0.56,0.471,0.195,0.000106,0.102,-16.353,0.0277,91.817,0.47,4,1970s
0,"Forever and Ever, Amen",Top 10,Randy Travis,2010-09-24,212586,61,0.303,0.701,0.68,1.51e-05,0.159,-8.492,0.0264,90.607,0.704,4,1980s
1,Mountain Music,Ultimate Alabama 20 # 1 Hits,Alabama,2004-10-08,218613,62,0.119,0.467,0.526,0.0,0.124,-9.982,0.0433,109.555,0.753,4,1980s
2,Baby's Got Her Blue Jeans On,Let It Roll,Mel McDaniel,1985-02-22,179653,61,0.237,0.871,0.714,1.94e-06,0.072,-6.413,0.0307,106.797,0.962,4,1980s
3,Fishin' in the Dark,Rhino Hi-Five: Nitty Gritty Dirt Band,Nitty Gritty Dirt Band,2007-04-24,202786,59,0.198,0.771,0.283,0.0,0.0888,-16.326,0.0444,77.756,0.906,4,1980s
4,I'm No Stranger to the Rain,Greatest Hits,Keith Whitley,1990-08-07,216066,47,0.401,0.671,0.44,0.131,0.111,-11.15,0.0235,88.115,0.489,4,1980s
5,Tight Fittin' Jeans,20th Century Masters: The Millennium Collection: Best Of Conway Twitty,Conway Twitty,1999-01-01,170266,51,0.191,0.707,0.546,7.37e-05,0.145,-11.398,0.0429,102.417,0.861,4,1980s
6,Amarillo By Morning,Strait From The Heart,George Strait,1982-01-01,173466,69,0.264,0.606,0.361,3.39e-05,0.38,-16.031,0.0346,121.059,0.621,4,1980s
7,I Love a Rainy Night,All Time Greatest Hits,Eddie Rabbitt,1991,191066,65,0.122,0.685,0.718,0.0,0.0556,-7.724,0.0521,131.463,0.958,4,1980s
8,I'm Gonna Hire A Wino To Decorate Our Home,The Very Best Of David Frizzell,David Frizzell,2009-01-01,239386,0,0.465,0.606,0.456,0.0,0.309,-12.449,0.199,162.438,0.821,4,1980s
9,Seven Spanish Angels (with Ray Charles),Friendship,Ray Charles,1984,231026,58,0.373,0.549,0.287,0.0,0.115,-13.135,0.0362,132.439,0.382,4,1980s
10,Deeper Than the Holler,Old 8 x 10,Randy Travis,1988-07-12,219080,66,0.29,0.647,0.482,0.0,0.232,-8.591,0.0262,142.648,0.437,4,1980s
11,40 Hour Week (For A Livin'),Greatest Hits,Alabama,1986-01-21,201026,48,0.123,0.578,0.44,0.0,0.145,-14.644,0.111,85.213,0.439,4,1980s
12,Slow Hand,Southern Comfort,Conway Twitty,1982,174640,59,0.22,0.796,0.337,0.0,0.115,-18.041,0.0334,106.923,0.858,4,1980s
13,Elvira,Fancy Free,The Oak Ridge Boys,1981-01-01,225626,61,0.188,0.825,0.285,0.00131,0.0539,-17.491,0.0326,126.946,0.86,4,1980s
14,Louisiana Saturday Night,I'm Countryfied,Mel McDaniel,1980-11-10,144186,67,0.532,0.686,0.622,0.0,0.0511,-7.31,0.0857,163.245,0.982,4,1980s
15,When You Say Nothing at All,Greatest Hits,Keith Whitley,1990-08-07,222493,54,0.721,0.673,0.346,4.48e-06,0.0475,-12.803,0.0245,80.012,0.396,4,1980s
16,Lookin' for Love,Lookin' For Love,Johnny Lee,1980-05-06,220440,56,0.586,0.74,0.394,0.000215,0.316,-15.126,0.0331,123.689,0.78,4,1980s
17,Diggin' Up Bones,Top 10,Randy Travis,2010-09-24,179373,51,0.361,0.703,0.575,0.0,0.0692,-8.215,0.0261,85.672,0.869,4,1980s
18,Killin' Time,Ultimate Clint Black,Clint Black,2003-09-22,168000,57,0.455,0.714,0.522,1.02e-05,0.0967,-9.773,0.0283,121.312,0.69,4,1980s
19,Grandpa (Tell Me 'Bout The Good Old Days),I Will Stand By You - The Essential Collection,The Judds,2011-04-05,254640,55,0.426,0.565,0.456,8.08e-06,0.0612,-8.124,0.031,201.644,0.588,4,1980s
20,Drinkin' My Baby Goodbye,Me And The Boys,The Charlie Daniels Band,1985,221706,55,0.364,0.536,0.907,5.22e-06,0.103,-10.249,0.0559,177.352,0.893,4,1980s
21,Good Ole Boys Like Me - Single Version,20 Greatest Hits,Don Williams,1987-01-01,251600,48,0.579,0.715,0.238,0.000931,0.138,-21.114,0.0317,108.131,0.486,4,1980s
22,I'd Love To Lay You Down,Love Songs,Conway Twitty,2001-01-01,199600,50,0.572,0.638,0.377,0.0,0.102,-15.64,0.0341,81.911,0.778,4,1980s
23,Meet Me In Montana,Won't Be Blue Anymore,Dan Seals,1985-01-01,236626,56,0.393,0.661,0.389,1.04e-06,0.0902,-12.292,0.0301,124.147,0.515,4,1980s
24,Leaving Louisiana In The Broad Daylight,Oak Ridge Boys Greatest Hits,The Oak Ridge Boys,1980-01-01,182200,46,0.247,0.597,0.628,1.9e-05,0.199,-14.06,0.0351,95.33,0.77,4,1980s
25,Guitar Town,Guitar Town,Steve Earle,1986-01-01,155266,60,0.229,0.661,0.496,0.0,0.0753,-15.53,0.0357,165.549,0.948,4,1980s
26,"Lord, I Hope This Day Is Good - Single Version",Lord I Hope This Day Is Good,Don Williams,1981-01-01,249906,58,0.252,0.526,0.388,0.00137,0.114,-17.983,0.029,173.82,0.702,4,1980s
27,The One I Loved Back Then (The Corvette Song),Super Hits/ Super Hits Vol. II/George & Tammy Super Hits,George Jones,1972,149333,0,0.519,0.636,0.479,0.0,0.408,-11.555,0.0812,159.433,0.935,4,1980s
28,All My Rowdy Friends Are Coming Over Tonight,"Greatest Hits, Vol. 2","Hank Williams, Jr.",1972,178840,50,0.13,0.607,0.904,0.0,0.134,-7.693,0.0435,146.831,0.877,4,1980s
29,Redneck Girl,"Greatest Hits, Vol. 1",The Bellamy Brothers,1982,208493,52,0.0831,0.759,0.554,4.92e-06,0.0895,-15.167,0.0349,126.994,0.913,4,1980s
30,Roll On (Eighteen Wheeler),Roll On,Alabama,1984-05-21,262626,53,0.115,0.583,0.456,0.0,0.556,-19.116,0.0578,131.815,0.639,4,1980s
31,On the Other Hand,Storms of Life,Randy Travis,1986-06-02,186346,57,0.175,0.657,0.415,5.65e-06,0.132,-9.915,0.025,96.03,0.347,4,1980s
32,You're The Reason God Made Oklahoma,The Very Best Of David Frizzell & Shelly West,David Frizzell,2009-01-01,204386,0,0.526,0.467,0.348,0.0,0.154,-11.972,0.0314,97.431,0.399,4,1980s
33,Everything That Glitters (Is Not Gold),Won't Be Blue Anymore,Dan Seals,1985-01-01,292626,52,0.726,0.654,0.259,0.0,0.0541,-16.728,0.0304,112.1,0.466,4,1980s
34,I Believe In You,20 Greatest Hits,Don Williams,1987-01-01,245573,49,0.835,0.659,0.221,0.000396,0.139,-20.219,0.0494,117.945,0.56,3,1980s
35,American Made,Oak Ridge Boys Collection,The Oak Ridge Boys,1992-01-01,159866,53,0.108,0.696,0.527,0.000897,0.0377,-14.275,0.0329,128.962,0.974,4,1980s
36,The Fireman,Does Fort Worth Ever Cross Your Mind,George Strait,1984-01-01,154360,57,0.137,0.664,0.601,3.09e-05,0.0567,-13.379,0.0616,168.979,0.934,4,1980s
37,All My Rowdy Friends (Have Settled Down),Greatest Hits,"Hank Williams, Jr.",1982,240373,55,0.23,0.711,0.542,5.2e-06,0.28,-10.319,0.0287,127.002,0.813,4,1980s
38,Country Club,Country Club,Travis Tritt,1990,190800,54,0.194,0.805,0.57,1.46e-05,0.106,-8.215,0.0272,126.478,0.76,4,1980s
39,That's the Way Love Goes,The Essential Merle Haggard: The Epic Years,Merle Haggard,1981,181426,53,0.549,0.81,0.268,0.00886,0.0943,-16.733,0.0291,99.686,0.625,4,1980s
40,I Wouldn't Have Missed It for the World,Ultimate Ronnie Milsap,Ronnie Milsap,2004-03-01,215026,0,0.0138,0.631,0.626,0.0,0.122,-8.995,0.0292,114.192,0.496,4,1980s
41,Old Hippie,Best Of The Bellamy Brothers,The Bellamy Brothers,1992-03-16,247040,52,0.038,0.691,0.497,5.94e-06,0.0859,-13.248,0.0473,103.893,0.701,4,1980s
42,The Ride,David Allan Coe - 16 Biggest Hits,David Allan Coe,1975,186866,53,0.52,0.531,0.381,2.88e-06,0.213,-13.142,0.0587,167.117,0.554,4,1980s
43,Streets of Bakersfield,Buenas Noches From a Lonely Room,Dwight Yoakam,1988,168213,56,0.0399,0.74,0.703,5.69e-06,0.0378,-11.87,0.0576,106.878,0.816,4,1980s
44,Why Not Me,Why Not Me,The Judds,1984-10-15,211266,59,0.502,0.732,0.667,4.07e-06,0.0524,-9.278,0.0278,125.6,0.727,4,1980s
45,"I Was Country When Country Wasn't Cool - Live At The Roy Acuff Theater Nashville, TN, 1981",After All These Years: The Collection,Barbara Mandrell,2020-07-10,220199,45,0.0759,0.597,0.473,0.000119,0.937,-14.271,0.0318,105.031,0.533,4,1980s
46,Big City,The Essential Merle Haggard: The Epic Years,Merle Haggard,1981,179333,58,0.275,0.707,0.401,0.000296,0.201,-14.222,0.0533,136.188,0.602,4,1980s
47,I Told You So,Top 10,Randy Travis,2010-09-24,219946,50,0.347,0.633,0.325,0.0,0.114,-9.05,0.0268,79.079,0.229,4,1980s
48,A Country Boy Can Survive,The Bocephus Box Set,"Hank Williams, Jr.",2000-08-22,255000,56,0.144,0.688,0.459,0.0,0.0816,-9.353,0.0365,75.184,0.493,4,1980s
49,"Theme from ""The Dukes of Hazzard"" (Good Ol' Boys)",The Dukes Of Hazzard,Original Soundtrack,1978,126586,56,0.108,0.589,0.848,0.127,0.125,-10.998,0.0383,147.564,0.913,4,1980s
50,He Stopped Loving Her Today,George Jones - 16 Biggest Hits,George Jones,1998-07-14,197400,53,0.785,0.333,0.232,0.000548,0.252,-14.605,0.0366,144.788,0.398,4,1980s
51,I Think I'll Just Stay Here And Drink,Down Every Road 1962-1994,Merle Haggard,1996-01-01,271666,46,0.0999,0.609,0.681,0.0495,0.0422,-11.491,0.0394,172.609,0.895,4,1980s
52,Tennessee Flat Top Box,The Very Best Of Rosanne Cash,Rosanne Cash,1979,195080,49,0.216,0.618,0.767,5.61e-05,0.219,-12.015,0.0307,97.522,0.964,4,1980s
53,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Ultimate Alabama 20 # 1 Hits,Alabama,2004-10-08,203240,55,0.115,0.522,0.651,0.0,0.0585,-9.817,0.0465,111.01,0.818,4,1980s
54,Jose Cuervo,West By West,Shelly West,1983-01-01,162840,0,0.305,0.697,0.588,0.0,0.117,-9.416,0.0759,115.339,0.816,4,1980s
55,Eighteen Wheels And A Dozen Roses,Untasted Honey,Kathy Mattea,1987-01-01,203400,0,0.0926,0.659,0.571,0.000159,0.0696,-13.609,0.0267,139.27,0.961,4,1980s
56,Are the Good Times Really Over (I Wish a Buck Was Still Silver),The Essential Merle Haggard: The Epic Years,Merle Haggard,1981,253293,56,0.808,0.616,0.217,0.000109,0.122,-15.439,0.0335,130.613,0.141,3,1980s
57,The Cowboy Rides Away,"George Strait's Greatest Hits, Volume Two",George Strait,1987-01-01,202306,54,0.0558,0.686,0.332,0.00142,0.368,-16.984,0.0268,109.067,0.64,4,1980s
58,Who's Gonna Fill Their Shoes,Super Hits,George Jones,1987-01-01,195133,54,0.672,0.441,0.262,0.0,0.133,-13.435,0.0301,138.327,0.317,4,1980s
59,Mama He's Crazy,Why Not Me,The Judds,1984-10-15,194760,56,0.34,0.728,0.398,0.0,0.137,-11.036,0.027,95.959,0.425,4,1980s
60,Honky Tonk Man,"Guitars, Cadillacs, Etc., Etc.",Dwight Yoakam,1986,167426,46,0.126,0.673,0.84,5.88e-05,0.175,-5.114,0.0381,144.184,0.749,4,1980s
61,The Bluest Eyes In Texas,Big Dreams In A Small Town,Restless Heart,1988-07-15,287000,43,0.496,0.643,0.525,0.0,0.142,-10.988,0.0272,113.907,0.552,4,1980s
62,Stand By Me - Single Version,Ten Years Of Hits,Mickey Gilley,1974,215106,52,0.699,0.666,0.42,0.0511,0.142,-12.28,0.0255,90.794,0.34,4,1980s
63,Two Dozen Roses,Super Hits,Shenandoah,1994,223613,53,0.327,0.695,0.502,0.0,0.097,-12.01,0.0279,117.083,0.543,4,1980s
64,Common Man,Classics,John Conlee,2003-11-18,163106,0,0.546,0.792,0.605,0.0,0.0439,-8.008,0.0462,128.789,0.899,4,1980s
65,One Promise Too Late,What Am I Gonna Do About You,Reba McEntire,1986-10-06,205866,49,0.449,0.644,0.304,0.0,0.715,-15.664,0.0363,79.099,0.68,4,1980s
66,Pancho and Lefty,The Essential Merle Haggard: The Epic Years,Merle Haggard,1981,287626,61,0.796,0.693,0.454,0.000154,0.143,-12.44,0.0332,122.641,0.54,4,1980s
67,Ocean Front Property,Ocean Front Property,George Strait,1987-01-01,188533,58,0.111,0.656,0.326,0.0,0.25,-15.756,0.0283,78.298,0.787,4,1980s
68,Somebody's Knockin',The Best Of Terri Gibbs,Terri Gibbs,1985-01-01,181666,49,0.233,0.699,0.515,2.56e-06,0.0888,-10.816,0.0299,95.044,0.734,4,1980s
69,Don't Close Your Eyes,Greatest Hits,Keith Whitley,1990-08-07,251560,54,0.723,0.618,0.271,0.000558,0.129,-13.695,0.026,78.334,0.264,4,1980s
70,"Guitars, Cadillacs","Guitars, Cadillacs, Etc., Etc.",Dwight Yoakam,1986,185239,52,0.26,0.581,0.917,0.179,0.141,-3.519,0.0746,171.663,0.86,3,1980s
71,Holding Her and Loving You,The Essential Earl Thomas Conley,Earl Thomas Conley,2018-05-04,188720,43,0.323,0.619,0.392,1.25e-05,0.123,-11.967,0.0304,125.868,0.334,4,1980s
72,Seven Year Ache,The Very Best Of Rosanne Cash,Rosanne Cash,1979,194853,51,0.475,0.747,0.568,0.000165,0.127,-8.651,0.0319,121.615,0.684,4,1980s
73,I Got Mexico,Best Of Eddy Raven,Eddy Raven,1997-03-04,146466,48,0.366,0.82,0.529,0.0,0.09,-10.08,0.0385,112.114,0.853,4,1980s
74,Nobody,Just Sylvia,Sylvia,1982-06-15,199200,51,0.249,0.764,0.448,0.0,0.107,-12.371,0.0336,124.226,0.868,4,1980s
75,All My Ex's Live In Texas,Ocean Front Property,George Strait,1987-01-01,200840,56,0.241,0.764,0.336,9.29e-06,0.118,-16.024,0.0302,130.565,0.697,4,1980s
76,My Favorite Memory,The Essential Merle Haggard: The Epic Years,Merle Haggard,1981,185573,52,0.874,0.452,0.158,0.000527,0.0846,-14.317,0.0358,129.822,0.134,3,1980s
77,I Can Tell By the Way You Dance,"The Voice Box, Vol. 1",Vern Gosdin,2015-05-11,161493,44,0.0972,0.755,0.593,0.0,0.13,-11.093,0.0295,109.812,0.919,4,1980s
78,Coal Miner's Daughter - Single Version,Coal Miner's Daughter,Loretta Lynn,1971-01-04,180960,60,0.836,0.604,0.354,0.00474,0.103,-14.07,0.0313,137.349,0.635,4,1980s
79,Love Is Alive,Why Not Me,The Judds,1984-10-15,238506,50,0.233,0.698,0.381,8.51e-06,0.106,-11.281,0.0291,86.302,0.365,4,1980s
80,Any Day Now - Remastered,Ultimate Ronnie Milsap,Ronnie Milsap,2004-03-01,222426,0,0.0849,0.663,0.561,4.79e-05,0.0725,-7.971,0.0248,102.911,0.605,4,1980s
81,I Loved 'Em Every One,Super Hits,T.G. Sheppard,1979,220426,37,0.216,0.66,0.688,0.0016,0.0685,-12.563,0.0304,87.126,0.718,4,1980s
82,Unwound,Strait Country,George Strait,1981-01-01,145160,50,0.124,0.715,0.461,1.99e-06,0.0662,-14.473,0.0394,139.291,0.775,4,1980s
83,Little Rock,Whoever's In New England,Reba McEntire,1986-01-01,187066,45,0.38,0.662,0.466,5.71e-06,0.0838,-14.705,0.0365,140.137,0.831,4,1980s
84,Islands In The Stream,A Love Song Collection,Kenny Rogers,2008-01-01,249880,0,0.427,0.589,0.641,0.0,0.0558,-5.533,0.0313,204.003,0.795,4,1980s
85,"Twinkle, Twinkle Lucky Star",The Essential Merle Haggard: The Epic Years,Merle Haggard,1981,203600,48,0.841,0.659,0.34,0.000598,0.222,-14.976,0.035,81.64,0.694,4,1980s
86,Tennessee River,Ultimate Alabama 20 # 1 Hits,Alabama,2004-10-08,183120,48,0.289,0.392,0.608,9.97e-05,0.261,-9.797,0.0719,95.381,0.565,4,1980s
87,Sunday In the South,Super Hits,Shenandoah,1994,241026,49,0.697,0.615,0.335,0.0,0.122,-12.372,0.0251,90.956,0.441,4,1980s
88,Highway 40 Blues,16 Biggest Hits,Ricky Skaggs,1980-01-01,188893,48,0.0582,0.653,0.657,0.00139,0.349,-11.966,0.0316,117.972,0.96,4,1980s
89,Why Does It Have to Be (Wrong or Right),Wheels,Restless Heart,1986-10-31,180800,41,0.23,0.756,0.448,0.0,0.0817,-13.605,0.0282,88.945,0.82,4,1980s
90,Fool Hearted Memory,Strait Out Of The Box,George Strait,1995-01-01,159666,45,0.317,0.567,0.57,0.0,0.205,-9.926,0.0295,88.851,0.645,4,1980s
91,Daddy's Hands,Milestones- Greatest Hits,Holly Dunn,1991-07-19,209466,49,0.54,0.551,0.269,0.0,0.103,-9.782,0.028,76.511,0.476,4,1980s
92,Born To Boogie,35 Biggest Hits,"Hank Williams, Jr.",2015-06-16,164653,46,0.0848,0.573,0.94,1.35e-05,0.154,-4.486,0.0359,90.286,0.878,4,1980s
93,80's Ladies,80s Ladies,K.T. Oslin,1987,251293,46,0.207,0.594,0.368,8.51e-06,0.0811,-11.504,0.024,98.358,0.297,4,1980s
94,Only One You,Super Hits,T.G. Sheppard,1979,202226,34,0.49,0.813,0.62,0.186,0.0636,-12.454,0.0274,95.274,0.97,4,1980s
95,Friday Night Blues,Friday Night Blues,John Conlee,2008-01-01,198453,49,0.699,0.811,0.497,0.0,0.0577,-10.741,0.0406,107.636,0.603,4,1980s
96,Baby's Gotten Good At Goodbye,Beyond The Blue Neon,George Strait,1989-01-01,210800,47,0.587,0.468,0.41,6.27e-06,0.0699,-11.782,0.028,183.898,0.519,4,1980s
97,My Heroes Have Always Been Cowboys,The Essential Willie Nelson,Willie Nelson,2015-10-16,183453,48,0.181,0.387,0.322,0.0145,0.205,-13.348,0.0378,114.762,0.258,3,1980s
98,Love in the First Degree,Feels So Right,Alabama,1981,199200,47,0.366,0.626,0.411,0.0,0.0374,-11.162,0.0318,103.368,0.665,4,1980s
99,Same Ole Me,Still The Same Ole Me,George Jones,1981-11-01,170733,46,0.634,0.724,0.288,9.03e-06,0.144,-13.873,0.0296,109.431,0.403,4,1980s
0,Check Yes Or No,Strait Out Of The Box,George Strait,1995-01-01,200666,71,0.0551,0.708,0.524,3.21e-06,0.0371,-12.644,0.0352,111.482,0.69,4,1990s
1,Should've Been A Cowboy,Toby Keith,Toby Keith,1993-01-01,211306,0,0.471,0.619,0.672,3.15e-06,0.211,-7.786,0.0356,133.402,0.694,4,1990s
2,Bye-Bye,I'm Alright,Jo Dee Messina,1998-03-17,200960,63,0.183,0.644,0.868,0.0,0.322,-3.98,0.0464,134.38,0.642,4,1990s
3,Where The Green Grass Grows,Everywhere,Tim McGraw,1997-06-03,201600,66,0.198,0.479,0.698,0.0,0.126,-7.914,0.0277,159.699,0.673,4,1990s
4,She's In Love With The Boy - Single Version,Trisha Yearwood,Trisha Yearwood,1991-01-01,248200,68,0.522,0.783,0.698,2.52e-06,0.0754,-8.268,0.0323,124.996,0.758,4,1990s
5,Chattahoochee,A Lot About Livin' (And A Little 'Bout Love),Alan Jackson,1992-10-09,148160,72,0.362,0.606,0.706,0.0,0.16,-9.665,0.0379,174.533,0.819,4,1990s
6,Strawberry Wine,Did I Shave My Legs For This?,Deana Carter,1996-01-01,291533,66,0.314,0.572,0.449,0.0,0.0301,-6.566,0.0264,122.632,0.207,3,1990s
7,The Night The Lights Went Out In Georgia,For My Broken Heart,Reba McEntire,1991-01-01,257266,64,0.52,0.428,0.51,8.32e-06,0.105,-11.695,0.103,169.967,0.393,4,1990s
